epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.5566,2.11207,4.75949,0.00824,0.00462,0.13637,0.05627,0.05065,1.84777,4.16812,0.00964,0.00027,0.00027,0.07327
2,64.8032,1.9399,4.49532,0.00715,0.00418,0.2488,0.00555,0.00363,1.72581,3.97319,0.0079,0.00053185,0.00053185,0.0455318
3,85.9838,1.85664,4.18792,0.00619,0.00367,0.26709,0.02505,0.02175,1.5703,3.74829,0.00638,0.00077522,0.00077522,0.0177752
4,104.273,1.76988,3.74191,0.00553,0.88416,0.06504,0.11461,0.08336,1.62532,2.75659,0.00658,0.000901,0.000901,0.000901
5,123.055,1.74527,3.0216,0.00523,0.85108,0.08008,0.09638,0.06381,1.59488,3.23125,0.00556,0.000868,0.000868,0.000868
6,141.432,1.66865,2.86475,0.00509,0.8965,0.07073,0.08989,0.05601,1.52146,2.4192,0.00501,0.000835,0.000835,0.000835
7,161.446,1.67464,2.72379,0.005,0.83416,0.11789,0.10261,0.06797,1.48207,2.43747,0.00511,0.000802,0.000802,0.000802
8,180.559,1.63331,2.59609,0.00492,0.88932,0.10325,0.11458,0.08067,1.4482,2.3207,0.00538,0.000769,0.000769,0.000769
9,198.825,1.60386,2.49468,0.0046,0.88373,0.1061,0.11643,0.08195,1.43541,2.22273,0.00492,0.000736,0.000736,0.000736
10,217.188,1.58609,2.41873,0.00452,0.87923,0.11911,0.12936,0.09376,1.33972,2.0058,0.00449,0.000703,0.000703,0.000703
11,238.077,1.55629,2.28925,0.00428,0.88608,0.12625,0.12976,0.09167,1.35025,1.96334,0.00432,0.00067,0.00067,0.00067
12,256.306,1.54325,2.31822,0.00439,0.88759,0.1224,0.14966,0.10891,1.33642,1.90834,0.00416,0.000637,0.000637,0.000637
13,274.677,1.5354,2.19441,0.00413,0.89359,0.1267,0.15128,0.10739,1.36489,1.88243,0.00414,0.000604,0.000604,0.000604
14,293.02,1.54157,2.15803,0.0041,0.89352,0.12967,0.13644,0.09614,1.3232,1.81247,0.00417,0.000571,0.000571,0.000571
15,314.043,1.50098,2.1573,0.00407,0.8937,0.1313,0.14194,0.10004,1.30208,1.76153,0.00411,0.000538,0.000538,0.000538
16,332.954,1.49184,2.0868,0.00399,0.89505,0.12927,0.14267,0.09726,1.30976,1.74981,0.00402,0.000505,0.000505,0.000505
17,351.168,1.50913,2.07886,0.00414,0.89681,0.13008,0.14403,0.09841,1.31917,1.70234,0.00411,0.000472,0.000472,0.000472
18,368.499,1.49262,2.04384,0.00418,0.89754,0.13374,0.14527,0.10108,1.31024,1.66757,0.0042,0.000439,0.000439,0.000439
19,388.37,1.52143,2.00269,0.00398,0.89727,0.13537,0.14638,0.10303,1.30131,1.64012,0.00402,0.000406,0.000406,0.000406
20,407.18,1.48804,1.98458,0.00392,0.90823,0.13036,0.1486,0.10307,1.29404,1.63378,0.00397,0.000373,0.000373,0.000373
21,424.574,1.38814,2.10752,0.00435,0.91472,0.12846,0.15601,0.10766,1.29847,1.64378,0.00397,0.00034,0.00034,0.00034
22,439.144,1.39491,2.05703,0.00413,0.91809,0.13096,0.15107,0.1047,1.30018,1.61957,0.00405,0.000307,0.000307,0.000307
23,453.305,1.3698,2.02431,0.00423,0.92018,0.13008,0.15549,0.10767,1.31873,1.6189,0.00391,0.000274,0.000274,0.000274
24,466.868,1.35902,1.99873,0.00409,0.91619,0.13219,0.15425,0.10557,1.30375,1.60029,0.00373,0.000241,0.000241,0.000241
25,481.081,1.36722,1.96129,0.00403,0.91011,0.13496,0.1557,0.10572,1.30083,1.58257,0.00359,0.000208,0.000208,0.000208
26,494.801,1.34997,1.9549,0.00398,0.91306,0.13419,0.15849,0.1093,1.27857,1.57498,0.00353,0.000175,0.000175,0.000175
27,508.5,1.34318,1.94199,0.00399,0.91325,0.13387,0.15651,0.10823,1.27273,1.56823,0.00352,0.000142,0.000142,0.000142
28,522.074,1.36505,1.92384,0.00403,0.91314,0.13895,0.15941,0.10966,1.27989,1.5612,0.00359,0.000109,0.000109,0.000109
29,534.72,1.33611,1.94971,0.00416,0.91252,0.13895,0.16027,0.10928,1.28714,1.55302,0.0036,7.6e-05,7.6e-05,7.6e-05
30,548.83,1.33957,1.90132,0.00397,0.91378,0.13943,0.15962,0.10956,1.28391,1.54801,0.00365,4.3e-05,4.3e-05,4.3e-05
