epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.5599,2.0465,2.56983,0.00708,0.38237,0.11423,0.10462,0.05455,1.89854,2.18675,0.00849,0.00330789,0.00330789,0.070229
2,98.3033,1.95202,1.96064,0.0065,0.40243,0.12003,0.12874,0.07226,1.80712,1.80919,0.00775,0.00637823,0.00637823,0.039966
3,130.886,1.9176,1.79562,0.00615,0.90582,0.12927,0.14304,0.08835,1.68474,1.61016,0.00735,0.00918457,0.00918457,0.00943902
4,163.42,1.90731,1.68717,0.00606,0.9138,0.13943,0.1554,0.08955,1.76822,1.5664,0.00773,0.008812,0.008812,0.008812
5,195.097,1.85508,1.63541,0.006,0.6709,0.12559,0.14975,0.08001,1.85146,1.55649,0.00784,0.008416,0.008416,0.008416
6,227.207,1.78014,1.55414,0.00551,0.89463,0.14553,0.15743,0.0918,1.66756,1.53733,0.00729,0.00802,0.00802,0.00802
7,259.712,1.757,1.50454,0.00539,0.91614,0.14837,0.18872,0.11333,1.5692,1.38509,0.00617,0.007624,0.007624,0.007624
8,291.664,1.71614,1.4468,0.00542,0.92465,0.15545,0.22834,0.12892,1.58557,1.42842,0.00682,0.007228,0.007228,0.007228
9,323.927,1.73924,1.44713,0.00532,0.66437,0.16504,0.18525,0.11524,1.51103,1.32205,0.00638,0.006832,0.006832,0.006832
10,355.552,1.63138,1.38539,0.00513,0.92979,0.15447,0.21688,0.11947,1.53353,1.31309,0.00524,0.006436,0.006436,0.006436
11,387.263,1.61954,1.34775,0.00482,0.50357,0.1999,0.2096,0.12265,1.47332,1.24773,0.00577,0.00604,0.00604,0.00604
12,418.692,1.62044,1.31825,0.00476,0.50086,0.21504,0.24947,0.13802,1.487,1.2758,0.00571,0.005644,0.005644,0.005644
13,450.417,1.57787,1.2627,0.00465,0.50633,0.20664,0.21757,0.131,1.53689,1.26253,0.00575,0.005248,0.005248,0.005248
14,482.311,1.59261,1.2525,0.00475,0.53695,0.26148,0.23634,0.14404,1.37683,1.23742,0.00609,0.004852,0.004852,0.004852
15,514.821,1.54857,1.23533,0.00468,0.57064,0.26179,0.25929,0.15502,1.35931,1.17895,0.00477,0.004456,0.004456,0.004456
16,542.553,1.44737,1.14605,0.00455,0.19768,0.25407,0.25562,0.14926,1.5178,1.19184,0.00571,0.00406,0.00406,0.00406
17,569.625,1.41551,1.10951,0.0045,0.47491,0.25701,0.26135,0.16221,1.34208,1.12794,0.00487,0.003664,0.003664,0.003664
18,597.459,1.39343,1.09485,0.0043,0.59881,0.30106,0.29955,0.18334,1.30744,1.14863,0.0046,0.003268,0.003268,0.003268
19,624.826,1.39329,1.0714,0.00434,0.22947,0.36823,0.29043,0.17501,1.36089,1.11402,0.00503,0.002872,0.002872,0.002872
20,652.556,1.38499,1.05849,0.00444,0.66272,0.2372,0.30639,0.18955,1.27452,1.08777,0.005,0.002476,0.002476,0.002476
21,680.751,1.35373,1.05581,0.00421,0.34119,0.4082,0.30332,0.19448,1.26322,1.11356,0.00442,0.00208,0.00208,0.00208
22,708.786,1.34686,1.02344,0.0042,0.27741,0.38435,0.30255,0.18313,1.40689,1.1092,0.00451,0.001684,0.001684,0.001684
23,737.082,1.32122,1.02956,0.00416,0.36021,0.37525,0.32111,0.20871,1.27833,1.06498,0.00462,0.001288,0.001288,0.001288
24,765.37,1.32679,1.00394,0.00415,0.36964,0.43445,0.31443,0.20569,1.23998,1.04919,0.0042,0.000892,0.000892,0.000892
25,792.573,1.30447,0.9802,0.00399,0.36735,0.43737,0.3284,0.20045,1.30993,1.06461,0.00425,0.000496,0.000496,0.000496
